,customer_id,req_id,insu_req_amount,insu_pay_amount,insu_cum_amount,insu_duration,customer_cost,risk
647,C123201,C123201-20130208-15540-01-001,158958,358958.0,3600000,30,-1.2581939883491238,1
648,C123247,C123247-20121205-11148-01-001,6194,306194.0,1520000,38,-48.433968356474004,1
649,C123288,C123288-20111018-15446-01-001,147920,347920.0,2500000,25,-1.3520822065981613,1
650,C123295,C123295-20130624-11394-01-001,361100,561100.0,1760000,44,-0.5538631957906397,1
651,C123312,C123312-20120625-13312-01-001,831941,981941.0,2800000,28,-0.180301247324029,1
652,C123319,C123319-20130508-11482-01-001,483460,583460.0,4000000,40,-0.20684234476482025,1
653,C123322,C123322-20130805-10545-01-001,3584944,4644944.0,5400000,45,-0.29568104829531505,1
654,C123328,C123328-20120425-19630-01-001,602190,802190.0,1160000,29,-0.3321210913499062,1
655,C123345,C123345-20130816-19756-01-001,2363544,2863544.0,1680000,42,-0.211546728133684,1
656,C123357,C123357-20120919-10576-01-001,8638393,10415709.0,2280000,35,-0.20574613819954707,1
657,C123361,C123361-20130905-16571-01-001,651930,851930.0,4700000,47,-0.3067814029113555,1
658,C123382,C123382-20120924-18290-01-001,1267441,1547441.0,1360000,34,-0.22091758117340374,1
659,C123393,C123393-20100903-10271-01-001,402183,1452183.0,360000,9,-2.610751821931807,1
660,C123426,C123426-20130107-10075-01-001,204183,857465.0,1360000,34,-3.19949261201961,1
661,C123427,C123427-20121212-12284-02-001,564855,764855.0,1320000,33,-0.3540731692204194,1
662,C123431,C123431-20130913-16735-01-001,291598,841598.0,1720000,43,-1.886158341278061,1
663,C123443,C123443-20131021-17220-01-001,2106791,2886790.0,4800000,48,-0.370230839224204,1
664,C123451,C123451-20120320-21027-01-001,16500,816500.0,1120000,28,-48.484848484848484,1
665,C123456,C123456-20120921-12224-01-001,1289208,1409208.0,6600000,30,-0.09308040285198355,1
666,C123474,C123474-20130913-11452-01-001,552142,2558142.0,1880000,47,-3.633123363192802,1
667,C123489,C123489-20101020-12605-01-001,2227212,3027212.0,360000,9,-0.3591934669892224,1
668,C123495,C123495-20110420-18439-01-001,652984,742984.0,1800000,9,-0.1378287982553937,1
